zip,year,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,legal_gps2122,legal_music2122,legal_app2122
98034,2018,2,1,2,2,2,2,1,2,2,1,2,2,,,
98006,2018,2,2,2,2,1,2,1,2,2,2,2,2,,,
98126,2018,2,1,2,2,1,2,3,2,2,1,2,2,,,
98155,2018,3,1,2,2,3,2,2,3,3,1,2,2,,,
98108,2018,1,1,1,2,1,3,3,2,2,1,3,2,,,
98155,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98133,2018,2,2,2,2,2,2,1,2,2,1,2,2,,,
98117,2018,2,1,2,2,2,2,2,2,2,1,2,2,,,
98030,2018,2,1,2,2,3,3,3,2,2,1,3,2,,,
98072,2018,3,1,2,2,1,2,1,2,2,1,2,2,,,
98092,2018,2,1,2,2,2,2,2,3,3,2,2,2,,,
98133,2018,2,1,2,2,3,2,2,2,2,1,2,2,,,
98031,2018,2,1,2,2,1,1,2,2,1,1,2,2,,,
98029,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98034,2018,2,1,2,2,2,1,1,2,2,1,2,2,,,
98059,2018,2,1,2,3,1,1,2,1,1,1,2,2,,,
98057,2018,3,3,2,3,1,3,3,2,2,3,2,3,,,
98104,2018,3,3,3,3,3,3,2,2,2,1,2,2,,,
98105,2018,3,1,2,2,3,2,3,2,2,1,3,3,,,
98038,2018,2,1,2,2,1,2,2,1,2,1,2,2,,,
98133,2018,2,1,2,2,2,3,2,2,2,3,2,2,,,
98055,2018,2,1,2,1,1,2,2,2,2,1,2,2,,,
98168,2018,2,1,2,2,2,2,3,2,2,1,2,2,,,
98125,2018,3,1,2,2,1,2,2,2,2,1,3,2,,,
98040,2018,2,1,2,2,1,2,2,2,2,2,2,3,,,
98117,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98101,2018,1,1,2,2,2,2,2,2,2,1,3,2,,,
