zip,year,legal_addgps,legal_gps1819,legal_handheld,legal_handheldstop,legal_911,legal_camera,legal_music1819,legal_readstop,legal_typestop,legal_handfree,legal_app1819,legal_video,legal_gps2122,legal_music2122,legal_app2122
98006,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98053,2018,2,2,2,2,3,2,3,2,2,1,2,2,,,
98011,2018,2,1,2,1,1,2,3,2,2,1,3,2,,,
98102,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98031,2018,2,1,2,2,3,2,3,2,2,1,2,2,,,
98032,2018,2,1,2,1,1,1,1,1,1,1,1,2,,,
98034,2018,2,1,2,2,1,2,3,2,2,1,1,2,,,
98052,2018,2,1,2,2,2,2,1,1,1,1,1,2,,,
98070,2018,2,1,2,2,1,2,2,2,2,1,2,2,,,
98006,2018,3,1,2,2,1,3,1,3,2,2,2,2,,,
98031,2018,3,1,3,3,1,2,2,3,2,1,2,2,,,
98101,2018,3,1,2,3,3,3,3,3,3,1,3,3,,,
